Name,Total Revenue Q3,Total Revenue Q2,Total Revenue PQ,Net Income Q3,Net Income Q2,Net Income PQ,Basic EPS Q3,Basic EPS Q2,Basic EPS PQ,ROE Q3,ROE Q2,ROE PQ,All High 52W,All Low 52W,RSI_Q3,RSI_Q2,RSI_PQ,Percentage Change Price Q3-Q2,Percentage Change Price Q2-PQ,Highest Price in Next Quarter,Lowest Price in Next Quarter
AAPL_30/03/2019,62900000,84310000,58015000,14125000,19965000,11561000,0.73,1.05,0.62,50.9,71,41.3,-18.5,34,67.87,28.42,61.49,-30,28,3,-11
AAPL_30/06/2019,84310000,58015000,53809000,19965000,11561000,10044000,1.05,0.62,0.55,71,41.3,39.7,-15,40,28.42,61.49,59.33,20,4,12,-5.5
AAPL_30/09/2019,58015000,53809000,64040000,11561000,10044000,13686000,0.62,0.55,0.76,41.3,39.7,58.6,-6,54,61.49,59.33,69,3.5,8,32.5,-2.5
AAPL_30/03/2020,64040000,91819000,58313000,13686000,22236000,11249000,0.76,1.25,0.64,58.6,98.8,53.6,-24.5,45.5,69,86.66,41.76,31,-14.5,49,-5
AAPL_30/06/2020,91819000,58313000,59685000,22236000,11249000,11253000,1.25,0.64,0.65,98.8,53.6,59.7,-5,83,86.66,41.76,72.41,-14.5,41,56.5,0
AAPL_30/09/2020,58313000,59685000,64698000,11249000,11253000,12673000,0.64,0.65,0.73,53.6,59.7,73.7,-18.5,112,41.76,72.41,64.43,41,27,17,-6.5
AAPL_30/12/2020,59685000,64698000,111439000,11253000,12673000,28755000,0.65,0.73,1.68,59.7,73.7,174.9,-4,147,72.41,64.43,71.22,28,17,8,-13
AAPL_30/03/2021,64698000,111439000,89584000,12673000,28755000,23630000,0.73,1.68,1.4,73.7,174.9,139.6,-16,117,64.43,71.22,52.02,17,-7,15,0
AAPL_30/06/2021,111439000,89584000,81434000,28755000,23630000,21744000,1.68,1.4,1.3,174.9,139.6,130.3,-6,60,71.22,52.02,66.2,-7,15,18,0
MSFT_30/03/2019,29084000,32471000,30571000,8824000,8420000,8809000,1.14,1.08,1.14,41.8,37.8,37.7,-2.5,34.5,65.14,46.31,65.84,-12.5,16.5,16.5,0
MSFT_30/06/2019,32471000,30571000,33717000,8420000,8809000,13187000,1.08,1.14,1.7,37.8,37.7,53.5,-3.5,42.5,46.31,65.84,69.99,16.5,13,4,-4.5
MSFT_30/09/2019,30571000,33717000,33055000,8809000,13187000,10678000,1.14,1.7,1.38,37.7,53.5,41,-3,46.5,65.84,69.99,59.96,12.5,1,15,-3
MSFT_30/03/2020,33055000,36906000,35021000,10678000,11649000,10752000,1.38,1.51,1.4,41,43.1,38.3,-21.5,26.5,59.96,77.13,49.16,15,-6,34,-1
MSFT_30/06/2020,36906000,35021000,38033000,11649000,10752000,11202000,1.51,1.4,1.46,43.1,38.3,38.5,-3.5,49.5,77.13,49.16,73.88,-5.5,29,19,-1
MSFT_30/09/2020,35021000,38033000,37154000,10752000,11202000,13893000,1.4,1.46,1.82,38.3,38.5,46,-10.5,56.5,49.16,73.88,56.21,28.5,6,8,-5.5
MSFT_30/12/2020,38033000,37154000,43076000,11202000,13893000,15463000,1.46,1.82,2.03,38.5,46,48.8,-4.5,67.5,73.88,56.21,58.95,6,5,9.5,-6
MSFT_30/03/2021,37154000,43076000,41706000,13893000,15463000,15457000,1.82,2.03,2.03,46,48.8,46.7,-6,53,56.21,58.95,61.91,5,2,13,-2
MSFT_30/06/2021,43076000,41706000,46152000,15463000,15457000,16458000,2.03,2.03,2.17,48.8,46.7,47.6,0,35,58.95,61.91,72.87,2,16,15,0
TSLA_30/03/2019,6824000,7226000,4541000,311090,140000,-702000,0.35,0.15,-0.82,18.3,13.8,-43.3,-28,14.5,41.91,49.23,42.68,3.7,-17.5,4,-37
TSLA_30/06/2019,7226000,4541000,6350000,140000,-702000,-408000,0.15,-0.82,-0.46,13.8,-43.3,-23.6,-42.5,26,49.23,42.68,44.22,-17,-21,5.5,-8.5
TSLA_30/09/2019,4541000,6350000,6303000,-702000,-408000,143000,-0.82,-0.46,0.16,-43.3,-23.6,8.2,-36,37,42.68,44.22,46.57,-21,5,79,-6
