AH_52W,EPS_Q3,EPS_Q2,EPS_PQ,PCP_PQQ2_Q3Q2,PCP_Q3Q2,highest_price
18.5,0.73,1.05,0.62,2.0,30.0,3.0
6.0,0.62,0.55,0.76,4.5,3.5,32.5
18.5,0.64,0.65,0.73,14.0,41.0,17.0
6.0,1.68,1.4,1.3,8.0,7.0,18.0
2.5,1.14,1.08,1.14,4.0,12.5,16.5
3.5,1.08,1.14,1.7,3.5,16.5,4.0
3.0,1.14,1.7,1.38,11.5,12.5,15.0
21.5,1.38,1.51,1.4,9.0,15.0,34.0
3.5,1.51,1.4,1.46,23.5,5.5,19.0
10.5,1.4,1.46,1.82,22.5,28.5,8.0
4.5,1.46,1.82,2.03,1.0,6.0,9.5
6.0,1.82,2.03,2.03,3.0,5.0,13.0
0.0,2.03,2.03,2.17,14.0,2.0,15.0
36.0,-0.82,-0.46,0.16,16.0,21.0,79.0
46.3,0.16,0.12,0.02,56.5,77.0,101.0
25.0,0.24,0.39,1.02,2.0,9.0,13.0
6.5,1.34,1.36,1.36,1.0,14.0,11.5
6.0,1.36,1.36,1.29,8.0,13.0,13.0
10.0,1.36,1.29,1.61,3.0,5.0,6.0
4.5,1.29,1.61,1.75,8.0,13.0,29.0
0.0,1.75,1.96,2.27,16.0,24.0,22.5
1.0,1.96,2.27,1.97,13.0,8.0,12.5
0.5,0.81,0.38,0.82,15.5,10.5,8.0
7.0,0.38,0.82,0.19,25.5,26.0,1.0
8.0,0.82,0.19,0.92,2.0,0.5,17.5
32.5,0.92,0.8,0.26,18.0,8.5,45.5
12.0,0.8,0.26,0.52,3.0,26.5,37.0
3.5,0.26,0.52,1.13,2.0,30.0,41.0
4.0,0.52,1.13,1.18,3.5,32.0,24.0
2.0,1.13,1.18,0.62,9.0,35.0,15.0
11.0,1.18,0.62,0.84,22.0,26.0,28.0
40.5,-0.88,0.36,0.34,6.5,10.5,11.5
43.5,-1.8,-0.29,-0.2,41.0,19.0,69.0
17.0,-0.29,-0.2,0.32,13.0,60.0,41.0
11.0,0.33,1.04,0.34,6.5,24.5,15.5
20.5,1.04,0.34,0.42,9.0,18.0,13.5
21.5,0.34,0.42,0.46,7.0,9.0,45.5
20.0,0.46,0.68,0.6,31.5,41.0,50.0
10.0,0.68,0.6,0.69,26.0,9.5,14.5
23.5,0.6,0.69,0.75,22.5,35.5,25.5
3.0,0.69,0.75,0.88,13.0,13.0,29.0
5.5,0.75,0.88,0.64,4.0,26.0,35.0
1.0,0.88,0.64,0.82,11.0,22.0,32.0
45.5,0.44,0.49,0.23,0.5,21.0,42.0
39.0,0.49,0.23,0.16,9.5,21.0,3.5
40.0,0.23,0.16,0.23,28.5,29.5,17.5
8.0,0.16,0.23,0.36,14.5,2.0,25.5
3.5,0.23,0.36,0.38,4.0,17.0,32.5
8.5,0.36,0.38,0.37,0.0,21.0,47.5
5.5,0.38,0.37,0.25,17.0,21.5,44.0
8.0,0.37,0.25,0.53,5.0,38.0,9.5
11.5,0.25,0.53,0.58,29.5,33.0,24.5
7.0,0.53,0.58,0.76,11.5,3.5,38.0
4.9,-2.03,-0.3,-0.12,24.3,0.5,17.6
14.2,0.5,1.0,0.21,26.5,48.0,61.0
10.2,1.0,0.21,0.48,22.8,21.2,18.0
12.0,0.21,0.48,0.73,40.0,43.5,5.5
22.7,0.48,0.73,0.91,7.3999999999999995,3.8,19.4
22.7,0.73,0.91,0.33,11.0,11.0,24.5
